Date;Country;Period;Local marginal capacity price (euro/MW)
2020-08-16;Frankreich;NEGPOS_04_08;25.76
2020-08-16;Frankreich;NEGPOS_08_12;22
2020-08-16;Frankreich;NEGPOS_12_16;31.92
2020-08-16;Frankreich;NEGPOS_16_20;27.96
2020-08-16;Frankreich;NEGPOS_20_24;29.92
2020-08-17;Frankreich;NEGPOS_00_04;29.84
2020-08-17;Frankreich;NEGPOS_04_08;31.08
2020-08-17;Frankreich;NEGPOS_08_12;26.16
2020-08-17;Frankreich;NEGPOS_12_16;21.8
2020-08-17;Frankreich;NEGPOS_16_20;27.65
2020-08-17;Frankreich;NEGPOS_20_24;26.51
2020-08-18;Frankreich;NEGPOS_00_04;27.12
2020-08-18;Frankreich;NEGPOS_04_08;25.13
2020-08-18;Frankreich;NEGPOS_08_12;20
2020-08-18;Frankreich;NEGPOS_12_16;24.6
2020-08-18;Frankreich;NEGPOS_16_20;23
2020-08-18;Frankreich;NEGPOS_20_24;22.41
2020-08-19;Frankreich;NEGPOS_00_04;22
2020-08-19;Frankreich;NEGPOS_04_08;23.32
2020-08-19;Frankreich;NEGPOS_08_12;25.22
2020-08-19;Frankreich;NEGPOS_12_16;25.92
2020-08-19;Frankreich;NEGPOS_16_20;37.29
2020-08-19;Frankreich;NEGPOS_20_24;27.92
2020-08-20;Frankreich;NEGPOS_00_04;22.01
2020-08-20;Frankreich;NEGPOS_04_08;23.92
2020-08-20;Frankreich;NEGPOS_08_12;21
2020-08-20;Frankreich;NEGPOS_12_16;21
2020-08-20;Frankreich;NEGPOS_16_20;29
2020-08-20;Frankreich;NEGPOS_20_24;26.5
2020-08-21;Frankreich;NEGPOS_00_04;29.12
2020-08-21;Frankreich;NEGPOS_04_08;25.5
2020-08-21;Frankreich;NEGPOS_08_12;24
2020-08-21;Frankreich;NEGPOS_12_16;24.2
2020-08-21;Frankreich;NEGPOS_16_20;30.88
2020-08-21;Frankreich;NEGPOS_20_24;26.07
2020-08-22;Frankreich;NEGPOS_00_04;28.81
2020-08-22;Frankreich;NEGPOS_04_08;34.93
2020-08-22;Frankreich;NEGPOS_08_12;36.76
2020-08-22;Frankreich;NEGPOS_12_16;24.44
2020-08-22;Frankreich;NEGPOS_16_20;27.48
2020-08-22;Frankreich;NEGPOS_20_24;34.52
2020-08-23;Frankreich;NEGPOS_00_04;38.91
2020-08-23;Frankreich;NEGPOS_04_08;48
2020-08-23;Frankreich;NEGPOS_08_12;52.36
2020-08-23;Frankreich;NEGPOS_12_16;64
2020-08-23;Frankreich;NEGPOS_16_20;47.52
2020-08-23;Frankreich;NEGPOS_20_24;30.12
2020-08-24;Frankreich;NEGPOS_00_04;33.75
2020-08-24;Frankreich;NEGPOS_04_08;33
2020-08-24;Frankreich;NEGPOS_08_12;30.83
2020-08-24;Frankreich;NEGPOS_12_16;35
2020-08-24;Frankreich;NEGPOS_16_20;41
